ice_thickness,freeboard,snow_depth,site,ice_type,lat,lon
198,15,8,grid2,fyi,79.99441,-86.44667
200,16,40,grid3,fyi,80.078294,-86.779342
175,12,25,grid3,fyi,80.079203,-86.779136
187,12,14,grid4,fyi,80.080036,-86.779089
157,9,26,grid4,fyi,79.843182,-86.805246
140,7,35,grid4,fyi,79.842411,-86.805305
161,12,18,grid4,fyi,79.844129,-86.805207
193,15,25,grid6,fyi,80.020688,-86.785785
197,15,16,grid6,fyi,80.019783,-86.785853
195,15,19,grid6,fyi,-99999,-99999
181,14,17,grid7,fyi,79.972199,-86.790566
189,13,25,grid7,fyi,79.973094,-86.790689
171,12,18,grid7,fyi,79.97397,-86.790488
